content,score,label
Atakkarmita syahputra,1,negatif
untuk admin shopee saya mohon kebijaksanaanya sebelum 60 hari yang di tentuka untuk memulihka kembali metode pembayaran cod di akun shopee saya yang tidak aktif di semua toko.emang saya akui karna saya pernah melakukan retur tapi itu saya lakukan benar benar tidak ada sebenar nya niat meretur barang. itu hanya semata kelalaian saya tidak melihat dulu keterangan dari toko penjual sehingga saya salah pilih barang dan saya pun mau nggak mau harus meretur barang tersebut ketika barang sampe ke saya.,4,positif
cobak kalok pembohong jangan di masukan di sopi aku beli ip 19jt aku udah tf mana kok gak datang sampek sekarang,1,negatif
iklan tai,1,negatif
2 kali beli barang lwat apps ini lebih dari 4 bulan ternyata uang ilang barang tak kujung datang dan ikelan di apps lain bikin kesel ndak bisa disekip dan tanpa durasi asu asu udah uang gua ilang 800000 ikelan nya di games ngak bisa di sekip apps babi!,1,negatif
👍👍👍👍👍,5,positif
bagus,5,positif
Cukup Oke Shopee nya moga sukses slalu,5,positif
Suka banget. hampir semua kebutuhan belinya di shopee. Nggak banyak drama.,5,positif
jos,5,positif
bagus,5,positif
bagus,1,negatif
kak saya mau bayar sipinjam tpi akun sama hp saya hilang gimana caranya tolong bantu saya,4,positif
ok,5,positif
Fitur COD dimatikan dengan alasan kurir kewalahan saking bnyak orderan apaan dah ini😂,1,negatif
"sejauh ini positif,semoga akan selalu positif.mantaffff",5,positif
aplikasi nya bagus pikturnya bayak,5,positif
"Pengalaman terjadi lagi... Shopee memihak ke Penjual. BArang yg di retur malah kembali di kirim ke pembeli. Padahal barang tidak di apa-apain. PAyaaaahhh...!!! Sampé kapan pun ga bakalan saya bayar itu tagihan. Intinya"" BODO AMAT""!!!!",1,negatif
seller toko online anti kritik mata duitan,1,negatif
apiki,5,positif
"Berat aplikasinya.. Banyak makan memori, sekarang malah buka aplikasi langsung ke video dan live... makin berat dong",2,negatif
"mudah digunakan ,& menghemat waktu trimakasih.",4,positif
ribet login nya,1,negatif
"aplikasinya makin berat gegara kebanyakan ngasih banyak opsi dalam 1 wadah. harusnya kalo mau tambah opsi (selain jual-beli barang) itu buat aplikasi lagi, bukan digabung jadi satu gini. masuk doang aja sampek lag parah. apalagi masuk langsung otomatis masuk ke live. bikin naik darah..",1,negatif
kenapa ongkir nya mahal sekali 😭,4,positif
sangat baik untuk digunakan😍,5,positif
gk pernah mengecewakan... mantul..,5,positif
"trm ksh banyak dr shopy,sdh sangat puas belanja di shopy",5,positif
"aplikasi shopee tidak memuaskan,lemot sering erorr,tolong coba perbaharui,aplikasi ini bikin kesel",2,negatif
tolong update hapus histori belanja. biar ga ngelag hp,5,positif
mantap,5,positif
"lagi seru baca wp nggak tekan apa' tba' buka shopee, mohon iklannya di kurangin ya",2,negatif
Shopee tetap jadi pilihan dan andalan,5,positif
mantaab,5,positif
semoga jd nyata,1,negatif
sekarang Shopee sangat buruk... banyak penjual nakal yang ngirim barang tidak sesuai dan jelek... untuk pengembalian juga sangat susah... udah 2 hari paket tidak diambil juga sama kurir,1,negatif
semoga jujur toko seller nya amanah dalam berjualan mohon pihak shopee bisa bertanggung jawab jika pesanan customer tidak sesuai dengan yang di pesan,2,negatif
"sebenarnya untuk belanja bagus ,tapi sayang hanya karena telat sekali spaylater di bekukan sampe sekarang,,,,",3,netral
sudah bagus pertahankan,5,positif
selalu memuaskan,5,positif
"saya kasih satu, soalnya paket saya nge stuck di ekspedisi ninja, kalo bisa jgn dikasih ninja. ngirimnya lelet banget banget banget",1,negatif
shope slalu oke lebih ditingkat kan lagi gratis ongkir nya,5,positif
keren,5,positif
👍✍️🌟🌟🌟🌟🌟👈💯☝️☺️,5,positif
bagus,5,positif
Wah aku suka dengan aplikasi shopee ini,5,positif
tolong pihak shopee buat oknum² yang suka menipu untuk di Block aja terimakasih,5,positif
sangat membantu untuk transaksi jual beli,5,positif
terima kasih shopee yg telah memberikan pelayanan terbaik,5,positif
wah saya suka,5,positif
lumayan,5,positif
Bagus,5,positif
sangat bermanfaat,5,positif
sangat bagus,5,positif
"bisa tolong jangan ngiklan di aplkasi film dan drama, orng mau nonton jadi gak khusu, iklan nya muncul terus, mana otomatis gitu lngsung ke apps shopee nya kan.. bikin gak mood, kek maksa bnget nyuruh orng belanja..pdhal lagi gak mau beli apa2, saya bisa ke appsnya sndiri kalo emng mau beli sesuatu dan lgi butuh bnget",4,positif
"menggunakan aplikasi shopee menyenangkan, aplikasinya bagus dan terpercaya.",5,positif
shopee sangat membantu👍👍,5,positif
"akhir2 ini toko penjual tergabung di Shopee bnyak lakukan kecurangan/ kebohongan contoh pesannya apa dikirimnya berbeda jauh dn sangat dirugikan konsumen Shopee,perlu tindakan selectif penjual2 yg tdk amanah /penipuan di blokir",5,positif
"belanja dishopee itu pokoknya best,apalagi bisa cod,tokonya banyak yg amanah,harga & barang sesuai,bs dpt koin pula,sayang sekarang aku g bisa klaim koin saat nntn live shopee,jd koinku g nmbah,udah ngubungi CSny shopee ttp aja g ada solusi",5,positif
mantap Poko nya mahh,5,positif
belanja pakai voc yg diksh malah dibatasi kalau ga niat kasih voc ga usah kasih,1,negatif
"senang bertransaksi di shopee, tp tolong min sekarang sering lag🙈",4,positif
bagus banget deh pokoknya soal nya aku sering belanja di shoope,5,positif
suka aj di shopee in ad diskonnya😍,5,positif
bnyk diskon,5,positif
bgs.,5,positif
"aplikasi nya bagus, dan mudah di pakai",5,positif
sangat mudah dan praktis digunakan,5,positif
"@shopee,tolong klaim/ajukan pengembalian di aktifkan sesuai dengan masa garansi produk yang di beli dan di semua jenis pembayaran ( tolong konsumennya di bantu)",5,positif
andalan blanja online,5,positif
"woii shoope. saya ga pernah buat pelanggaran apapun. knp metode cod ga bisa ?? apa bilang kurir untuk datang lagi malam karna lagi lembur di sebut pelanggaran?? kalaupun saya minta kurir untuk di antar lagi nanti malam, saya selalu kasih tips setengah harga paket. kalo sampai besok blm bisa cod juga. terpaksa uninstall.",5,positif
sangat membantu untuk belanja dishopee,5,positif
Iklannya menyebalkan.,1,negatif
aku lho sudah downloaf...tapi iklanya muncul di setiap aplikasi kayak maksa banget ingin di tonton...mngganggu banget,2,negatif
lemot bosku,3,netral
keluargaku suka menggunakan aplikasi Shopee untuk membeli barang yang di butuhkan dan harga juga lebih murah.,5,positif
"Aplikasi Shopee ini sangat membantu saya untuk membeli kebutuhan secara online, dan banyak voucher dan promo yang membuat harga barang sedikit lebih turun harganya, walaupun ada beberapa kendala di performanya tapi aku tetep kasih bintang 5, aplikasi belanja online nomor 1 se-Indonesia, saya titip salam kepada admin Shopee. Semoga selalu rame Aplikasi nya",5,positif
mantap,5,positif
"Tolong perbaiki sistem bot kalian. Gak kerjaan kalau terus bolak balik buat laporan untuk tuduhan tak berdasar. Sebenarnya yang terakhir itu bukan yang pertama sebelumnya saya juga dituduh dari pihak pembeli sekarang dari pihak penjual. Logika AI kalian ibarat seperti ini ""saya suka makan ayam"" kemudian perintah ke AI ""ayam dilarang diedarkan"" kemudian sistem AI kalian langsung banned akun hanya karena ada kata saya dan ayam disana padahal tidak ada hubungannya.",5,positif
Raceto,1,negatif
tolong iklan sewajarnya saja jangan sampai kesan nya mengganggu,2,negatif
sangat bagus,5,positif
alhamdulillah semejak pakai aplikasi ini jdi enak belanja alat pertanian alat rumah tangga keperluan anak sekolah dan lain2,5,positif
kenapa akun saya tidak bisa cod lagi tolong dong shopee perbaharui akun saya supaya bisa cod lagi.terimakasih,5,positif
